ID_Lugar,Lugar,Latitud,Longitud,Clasificación,País_Contemporáneo,Notas
LID185,La Guaira,10.602560,-66.931354,Municipio,Venezuela,Puerto
LID186,La Mesa,4.632229,-74.463066,Municipio,Colombia,null
LID187,La Palma,5.360494,-74.390503,Municipio,Colombia,null
LID188,La Peña,5.199730,-74.393515,Municipio,Colombia,null
LID189,La Piñuela,7.377335520977805,-72.6502618699693,Sitio espesifíco,Colombia,Se ubica en el monasterio de Santa Clara de Pamplona.
LID190,La Plata,2.388189,-75.892140,Municipio,Colombia,null
LID191,La Playa,8.267243114047874,-73.20369107939895,Sitio espesifíco,Colombia,null
LID192,La Uvita,6.318082,-72.560200,Municipio,Colombia,null
LID193,La Vega,4.999732,-74.339624,Municipio,Colombia,null
LID194,Labateca,7.299841,-72.494235,Municipio,Colombia,null
LID195,Labranzagrande,5.562870,-72.577966,Municipio,Colombia,null
LID196,Las Lajas,0.8056466766852839,-77.58584215982074,Sitio espesifíco,Colombia,Posiblemente la zona de la iglesia en Ipiales
LID197,Las Palmas,9.856691510213972,-75.02255456931894,Sitio espesifíco,Colombia,null
LID198,Leiva,1.934906,-77.306181,Municipio,Colombia,null
LID199,Lenguazaque,5.306407,-73.712398,Municipio,Colombia,null
LID200,Lengupá,5.1952004241612375,-73.14244581378574,Departamento/Provincia,Colombia,null
LID201,León (isla),36.540275373552475,-6.29974812074676,Isla,España,null
LID202,Lérida,4.863197,-74.907675,Municipio,Colombia,null
LID203,Limonal,4.631940307870051,-74.46222631416596,Sitio espesifíco,Colombia,Posiblemente cerca de La Mesa Cundinamarca
LID204,Loreto de Ticuanas,null,null,Ilocalizable,Ilocalizable,null
LID205,Lorica,9.227045,-75.818889,Municipio,Colombia,null
LID206,Los Llanos,3.4920148997450284,-72.78914014990124,Región,Colombia,null
LID207,Los Santos,6.756664,-73.102776,Municipio,Colombia,null
LID208,Macaravita,6.506065,-72.592980,Municipio,Colombia,null
LID209,Machetá,5.081136,-73.607834,Municipio,Colombia,null
LID210,Macuco,4.736131790892382,-72.2066074925071,Sitio espesifíco,Colombia,null
LID211,Magangué,9.243983,-74.756972,Municipio,Colombia,null
LID212,Magdalena,6.708668940654183,-74.67480640526662,Sitio espesifíco,Colombia,Río
LID213,Mahates,10.237176,-75.188259,Municipio,Colombia,null
LID214,Majagual,8.540445,-74.630176,Municipio,Colombia,null
LID215,Málaga,6.699656,-72.732647,Municipio,Colombia,null
LID216,Malambo,10.859246,-74.772788,Municipio,Colombia,null
