ID_Caso,ID_Crímen,Descripción
127,127A,Sumario instruído por **círcular moneda falsa** a Juan Luis Pérez.
128,128A,Investigación judicial sobre el autor de la **estocada **dada a Salvador Díaz.
129,129A,"Causa que se siguió a Juan Domínguez Navarro, por **haber mordido el perro de éste a una muchacha**."
130,130A,"Sumario instruído por el alcalde de Choachí, a Salvador Velázquez, por **hurto **de ganado mayor"
131,131A,"Causa criminal seguida a Domingo Robayo por el **homicidio **de Antonio Rubio, en el altercado de éste con un soldado de la guardia del virrey Pizarro, en Serrezuela"
132,132A,"**Enumeración de causas** civiles y criminales, con especificación de lugares y sujetos, que pasaron por la Real Audiencia en el año de 1794"
133,133A,"Causa criminal seguida a Francisco Romero del Campo, por **escrito infamatorio** contra Toribio de Pineda, Escribano de Leiva, y Juana Bernal, su mujer"
134,134A,"Sumario instruído a Juan Díaz y a Juan Ramírez, por haber **herido **a Luis García"
135,135A,"Causa seguida a Juan de Arziamendi, por haber **abandonado su legítima consorte** y vivir con María de San Juan."
135,135B,"Causa seguida a Juan de Arziamendi, por haber abandonado su legítima** consorte** **y vivir con María** de San Juan."
135,135C,"Causa seguida a Juan de Arziamendi, por haber abandonado su legítima consorte y **vivir con** María de San Juan."
136,136A,"Multa impuesta a José de Córdoba, por sus **relaciones, siendo casado**, con Margarita Velázquez"
137,137A,"Juicio seguido a Juan Bernal, por **injurias **a Francisco Lavado"
138,138A,"Sumario instruído a José Velásquez, por **heridas **causadas a Jacinto Suárez y Nicolás Rodríguez"
139,139A,"Sumario de Juliana de Ocampo, por **vender pan con fraude en el peso**"
140,140A,Demanda por objetos **robados **iniciada por Micaela Vásquez contra Marcela de los Reyes
141,141A,"Sumario instruído a Juan de la Peña y Baltazar Holguín, por haber **herido **en el barrio de San Victorino a Juan Domínguez Navarro"
142,142A,"Demanda por el **hurto **de unos cerdos, de Juana de Gualteros contra los mulatos Simón y José"
143,143A,"Demanda de Juan de Castro contra Cristóbal Baptista Quijada, por **maltratos de obra**"
144,144A,"Causa seguida a Feliciana Moreno por **amancebamiento **con Agustín Mayorga, marido de Polonia Chaves"
144,144B,"Causa seguida a Feliciana Moreno por **amancebamiento **con Agustín Mayorga, **marido de Polonia** Chaves"
145,145A,"Proceso de Francisco Baracaldo, **matador **de Francisco Calderón, en la salina de Guachetá"
146,146A,"Causa seguida a Sebastián Solobatiosa, por **amancebamiento **con una india"
147,147A,"Indagatorias sobre la **tentativa de suicidio** de Toribio Bernal, preso en la cárcel de Santafé"
147,147B,"Indagatorias sobre la tentativa de suicidio de Toribio Bernal, **preso **en la cárcel de Santafé"
148,148A,"Causa seguida a Miguel Cáceres y Andrea Cañas, su mujer, por **sustracción **de unas alhajas de la ermita de Monserrate"
149,149A,"Causa criminal seguida a la señora María Josefa Contreras, por el **homicidio **de su joven sirvienta María Pineda"
149,149B,"**Solicitud **de María Josefa Contreras, para quedar comprendida en la Real Gracia de **indulto**. Su delito el homicidio de María Pineda"
150,150A,"Juicio seguido a Juan Castro Bravo, por tener **juegos prohibidos en su casa**."
151,151A,"Propuestas sobre precio de **conducción de unos reos** a Cartagena, hechas por Juan Fernández Palomino"
151,151B,"Propuestas sobre precio de conducción de **unos reos** a Cartagena, hechas por Juan Fernández Palomino"
152,152A,**Enumeración de expedientes** que vinieron a conocimiento de la Real Audiencia en el año de 1804
